Semester & Year (Course Identifyer),Session,Class Type,Open or Closed,Capacity,Professor
15882,031,IND(1 - 3),Permission,2 / 30,Rich Nguyen
15616,032,IND(1 - 3),Permission,0 / 30,Farzad Hassanzadeh
15886,033,IND(1 - 3),Permission,0 / 30,Mark Floryan
16015,034,IND(1 - 3),Permission,0 / 30,Yixin Sun
16051,035,IND(1 - 3),Permission,0 / 30,Tom Horton
16495,036,IND(1 - 3),Permission,0 / 30,Charles Reiss
15525,037,IND(1 - 3),Permission,0 / 30,Lu Feng
16026,038,IND(1 - 3),Permission,0 / 30,Jundong Li
16103,039,IND(1 - 3),Permission,0 / 30,Kevin Sullivan
16121,040,IND(1 - 3),Permission,0 / 30,Briana Morrison
16150,041,IND(1 - 3),Permission,0 / 30,Raymond Pettit
16348,042,IND(1 - 3),Permission,0 / 30,Hyojoon Kim
16359,043,IND(1 - 3),Permission,0 / 30,Adwait Jog
16360,044,IND(1 - 3),Permission,2 / 30,Miaomiao Zhang
16400,045,IND(1 - 3),Permission,1 / 30,Judy Fox
16413,046,IND(1 - 3),Permission,4 / 30,Yen-Ling Kuo
16481,047,IND(1 - 3),Permission,1 / 30,Shangtong Zhang
20836,048,IND(1 - 3),Permission,1 / 30,Rohan Chandra
21018,049,IND(1 - 3),Permission,1 / 30,Aaron Bloomfield
21059,050,IND(1 - 3),Permission,0 / 30,Sandhya Dwarkadas
21117,051,IND(1 - 3),Permission,1 / 30,Chen-Yu Wei
21240,052,IND(1 - 3),Permission,1 / 30,Chen Chen
21335,053,IND(1 - 3),Permission,1 / 30,Henry Kautz
21791,054,IND(1 - 3),Permission,2 / 30,Caroline Crockett
21829,055,IND(1 - 3),Permission,1 / 30,Yu Meng
21864,056,IND(1 - 3),Permission,1 / 30,Hadi Daneshmand
21886,057,IND(1 - 3),Permission,1 / 30,Derrick Stone
,15755,001,IND(3),Permission,1 / 30
15755,001,IND(3),Permission,1 / 30,Ashish Venkat
15755,001,IND(3),Permission,1 / 30,Ashish Venkat
16489,002,IND(3),Permission,1 / 30,Brad Campbell
15648,003,IND(3),Permission,0 / 30,Yanjun Qi
15719,004,IND(3),Permission,2 / 30,Mark Sherriff
15760,005,IND(3),Permission,0 / 30,Homa Alemzadeh
15768,006,IND(3),Permission,0 / 30,Nicola Bezzo
16043,007,IND(3),Permission,0 / 30,Tariq Iqbal
15988,008,IND(3),Permission,3 / 30,Rich Nguyen
16339,009,IND(3),Permission,0 / 30,Chen-Yu Wei
15825,010,IND(3),Permission,0 / 30,Kevin Skadron
15857,011,IND(3),Permission,1 / 30,David Evans
16466,012,IND(3),Permission,2 / 30,Shangtong Zhang
15969,013,IND(3),Permission,0 / 30,Seongkook Heo
21046,014,IND(3),Permission,1 / 30,Briana Morrison
21082,015,IND(3),Permission,1 / 30,Anil Vullikanti
21430,016,IND(3),Permission,1 / 30,Rohan Chandra
21580,017,IND(3),Permission,1 / 30,Wei-Kai Lin
21650,018,IND(3),Permission,1 / 30,Ferdinando Fioretto
21737,019,IND(3),Permission,0 / 30,Aidong Zhang
21753,020,IND(3),Permission,1 / 30,Tom Fletcher
21862,021,IND(3),Permission,1 / 30,Zezhou Cheng
,16258,001,Lecture(3),Open,36 / 38
16258,001,Lecture(3),Open,36 / 38,Shangtong Zhang
16258,001,Lecture(3),Open,36 / 38,Shangtong Zhang
,19570,001,Lecture(3),Open,15 / 20
19570,001,Lecture(3),Open,15 / 20,Felix Lin
19570,001,Lecture(3),Open,15 / 20,Felix Lin
,16082,001,Lecture(3),Permission,0 / 15
16082,001,Lecture(3),Permission,0 / 15,Tariq Iqbal
16082,001,Lecture(3),Permission,0 / 15,Tariq Iqbal
,,Software Logic,15445,001,Lecture(3)
,Software Logic,15445,001,Lecture(3),Open
15445,001,Lecture(3),Open,31 / 38,Kevin Sullivan
15901,002,Lecture(3),Open,61 / 65,Yixin Sun
16259,003,Lecture(3),Open,28 / 38,Chen-Yu Wei
16074,004,Lecture(3),Open,13 / 30,Kevin Skadron
16261,005,Lecture(3),Open,32 / 35,Ferdinando Fioretto
19571,006,Lecture(3),Open,32 / 35,Tianhao Wang+1
19572,007,Lecture(3),Open,28 / 40,Henry Kautz
19573,008,Lecture(3),Open,18 / 38,Wajih Ul Hassan
19574,009,Lecture(3),Open,39 / 45,Hadi Daneshmand
19575,010,Lecture(3),Open,13 / 38,Rohan Chandra
16263,011,Lecture(3),Open,12 / 35,Adwait Jog
16264,012,Lecture(3),Open,20 / 38,Madhur Behl
16114,013,Lecture(3),Open,8 / 12,Homa Alemzadeh
16099,014,Lecture(3),Open,8 / 20,Tom Fletcher
16260,015,Lecture(3),Open,28 / 70,Yu Meng
19606,016,Lecture(3),Open,12 / 18,Jundong Li
21062,017,Lecture(3),Open,19 / 30,Yanjun Qi
,15962,001,Lecture(3),Open,45 / 46
15962,001,Lecture(3),Open,45 / 46,Lu Feng
15962,001,Lecture(3),Open,45 / 46,Lu Feng
,15949,001,Lecture(3),Open,27 / 35
15949,001,Lecture(3),Open,27 / 35,Matthew Dwyer
15949,001,Lecture(3),Open,27 / 35,Matthew Dwyer
,16159,001,IND(1),Permission,0 / 30
16159,001,IND(1),Permission,0 / 30,Yangfeng Ji
16159,001,IND(1),Permission,0 / 30,Yangfeng Ji
15977,002,IND(1),Permission,0 / 30,Felix Lin
15997,003,IND(1),Permission,0 / 30,David Evans
16018,004,IND(1),Permission,0 / 30,Brad Campbell
16349,005,IND(1),Permission,0 / 30,Hyojoon Kim
16375,006,IND(1),Permission,0 / 30,Seongkook Heo
16468,007,IND(1),Permission,0 / 30,Yanjun Qi
16492,008,IND(1),Permission,0 / 30,Farzad Hassanzadeh
16510,009,IND(1),Permission,0 / 30,Kun Qian
,15430,001,IND(1 - 12),Permission,0 / 10
15430,001,IND(1 - 12),Permission,0 / 10,Nada Basit
15430,001,IND(1 - 12),Permission,0 / 10,Nada Basit
15454,002,IND(1 - 12),Permission,0 / 10,Mohammad Mahmoody
16201,003,IND(1 - 12),Permission,0 / 10,Lu Feng
15869,004,IND(1 - 12),Permission,1 / 10,Aidong Zhang
16189,005,IND(1 - 12),Permission,0 / 10,Panagiotis Apostolellis
16428,006,IND(1 - 12),Permission,0 / 30,Mark Floryan
16500,007,IND(1 - 12),Permission,0 / 30,Rich Nguyen
16509,008,IND(1 - 12),Permission,0 / 30,Chang Lou
16511,009,IND(1 - 12),Permission,0 / 30,Kun Qian
16518,010,IND(1 - 12),Permission,0 / 30,Yue Cheng
21271,011,IND(1 - 12),Permission,2 / 30,Yen-Ling Kuo
21336,012,IND(1 - 12),Permission,0 / 30,Henry Kautz
21460,013,IND(1 - 12),Permission,2 / 30,Kevin Skadron
21695,014,IND(1 - 12),Permission,3 / 30,Anil Vullikanti
21786,015,IND(1 - 12),Permission,1 / 30,Matheus Xavier Ferreira
,15881,001,IND(1 - 12),Permission,1 / 30
