Semester & Year (Course Identifyer),Session,Class Type,Open or Closed,Capacity,Professor
15627,021,IND(1),Permission,0 / 30,Yixin Sun
16068,022,IND(1),Permission,0 / 30,Chang Lou
15626,023,IND(1),Permission,0 / 30,Derrick Stone
15554,024,IND(1),Permission,0 / 30,Lu Feng
15571,025,IND(1),Permission,0 / 30,Mohammad Mahmoody
15572,026,IND(1),Permission,0 / 30,Yanjun Qi
15577,027,IND(1),Permission,0 / 30,Madhur Behl
15605,028,IND(1),Permission,0 / 30,Charles Reiss
15624,029,IND(1),Permission,0 / 30,Raymond Pettit
15607,030,IND(1),Permission,0 / 30,Panagiotis Apostolellis
15608,031,IND(1),Permission,0 / 30,Nada Basit
15609,032,IND(1),Permission,0 / 30,Aaron Bloomfield
15610,033,IND(1),Permission,0 / 30,Nathan Brunelle
15611,034,IND(1),Permission,0 / 30,Brad Campbell
15628,035,IND(1),Permission,0 / 30,Anil Vullikanti
15612,036,IND(1),Permission,0 / 30,Matthew Dwyer
15613,037,IND(1),Permission,0 / 30,Tom Fletcher
15614,038,IND(1),Permission,0 / 30,Mark Floryan
15623,039,IND(1),Permission,0 / 30,Rich Nguyen
15616,040,IND(1),Permission,0 / 30,Tom Horton
15617,041,IND(1),Permission,0 / 30,Robbie Hott
16159,042,IND(1),Permission,0 / 30,Yue Cheng
15618,043,IND(1),Permission,0 / 30,Yangfeng Ji
15619,044,IND(1),Permission,0 / 30,Samira Khan
15625,045,IND(1),Permission,0 / 30,Mark Sherriff
15620,046,IND(1),Permission,0 / 30,Jundong Li
16320,047,IND(1),Permission,0 / 30,Wajih Ul Hassan
,15533,001,IND(1 - 12),Permission,0 / 30
15533,001,IND(1 - 12),Permission,0 / 30,Homa Alemzadeh
15533,001,IND(1 - 12),Permission,0 / 30,Homa Alemzadeh
15864,002,IND(1 - 12),Permission,0 / 30,Yue Cheng
15878,003,IND(1 - 12),Permission,0 / 30,Panagiotis Apostolellis
16466,004,IND(1 - 12),Permission,0 / 30,Afsaneh Doryab
16000,005,IND(1 - 12),Permission,0 / 30,Raymond Pettit
16152,006,IND(1 - 12),Permission,0 / 30,Kevin Sullivan
,16175,001,Lecture(3),Open,0 / 35
16175,001,Lecture(3),Open,0 / 35,Hyojoon Kim
16175,001,Lecture(3),Open,0 / 35,Hyojoon Kim
,15485,001,IND(1 - 12),Permission,0 / 30
15485,001,IND(1 - 12),Permission,0 / 30,Aidong Zhang
15485,001,IND(1 - 12),Permission,0 / 30,Aidong Zhang
15446,002,IND(1 - 12),Permission,0 / 30,Anil Vullikanti
14915,003,IND(1 - 12),Permission,0 / 30,Kevin Skadron
15433,004,IND(1 - 12),Permission,0 / 30,Jack Davidson
15068,005,IND(1 - 12),Permission,0 / 30,Nada Basit
15447,006,IND(1 - 12),Permission,0 / 30,Madhav Marathe
15503,007,IND(1 - 12),Permission,0 / 30,Robbie Hott
15069,008,IND(1 - 12),Permission,0 / 30,Lu Feng
16078,009,IND(1 - 12),Permission,0 / 30,Chen-Yu Wei
16079,010,IND(1 - 12),Permission,0 / 30,Yen-Ling Kuo
15188,011,IND(1 - 12),Permission,0 / 30,Samira Khan
15504,012,IND(1 - 12),Permission,0 / 30,Seongkook Heo
15505,013,IND(1 - 12),Permission,0 / 30,Sebastian Elbaum
15506,014,IND(1 - 12),Permission,0 / 30,Ashish Venkat
15534,015,IND(1 - 12),Permission,0 / 30,Homa Alemzadeh
15540,016,IND(1 - 12),Permission,0 / 30,Brad Campbell
15555,017,IND(1 - 12),Permission,0 / 30,Jundong Li
15711,018,IND(1 - 12),Permission,0 / 30,Afsaneh Doryab
15278,019,IND(1 - 12),Permission,0 / 30,Madhur Behl
15741,020,IND(1 - 12),Permission,0 / 30,Judy Fox
16074,021,IND(1 - 12),Permission,0 / 30,Chang Lou
15070,022,IND(1 - 12),Permission,0 / 30,Yanjun Qi
15221,023,IND(1 - 12),Permission,0 / 30,Haiying Shen
16137,024,IND(1 - 12),Permission,0 / 30,Miaomiao Zhang
15364,025,IND(1 - 12),Permission,0 / 30,Yangfeng Ji
16153,026,IND(1 - 12),Permission,0 / 30,Kevin Sullivan
15763,027,IND(1 - 12),Permission,0 / 30,Felix Lin
16077,028,IND(1 - 12),Permission,0 / 30,Hyojoon Kim
15847,029,IND(1 - 12),Permission,0 / 30,Tianhao Wang
15865,030,IND(1 - 12),Permission,0 / 30,Yue Cheng
15883,031,IND(1 - 12),Permission,0 / 30,Shangtong Zhang
16001,032,IND(1 - 12),Permission,0 / 30,Raymond Pettit
16008,033,IND(1 - 12),Permission,0 / 30,Matthew Dwyer
16075,034,IND(1 - 12),Permission,0 / 30,Ferdinando Fioretto
16076,035,IND(1 - 12),Permission,0 / 30,Wei-Kai Lin
,15507,001,IND(3),Permission,0 / 30
15507,001,IND(3),Permission,0 / 30,David Wu
15507,001,IND(3),Permission,0 / 30,David Wu
14887,002,IND(3),Permission,0 / 30,David Evans
15448,003,IND(3),Permission,0 / 30,Anil Vullikanti
15449,004,IND(3),Permission,0 / 30,Madhav Marathe
15508,005,IND(3),Permission,0 / 30,Haifeng Xu
15509,006,IND(3),Permission,0 / 30,Seongkook Heo
15510,007,IND(3),Permission,0 / 30,Sebastian Elbaum
15511,008,IND(3),Permission,0 / 30,Ashish Venkat
15345,009,IND(3),Permission,0 / 30,Nada Basit
15434,010,IND(3),Permission,0 / 30,Aidong Zhang
16083,011,IND(3),Permission,0 / 30,Hyojoon Kim
15535,012,IND(3),Permission,0 / 30,Homa Alemzadeh
16084,013,IND(3),Permission,0 / 30,Chen-Yu Wei
16082,014,IND(3),Permission,0 / 30,Wei-Kai Lin
15712,015,IND(3),Permission,0 / 30,Afsaneh Doryab
16080,016,IND(3),Permission,0 / 30,Chang Lou
14979,017,IND(3),Permission,0 / 30,Mark Sherriff
15081,018,IND(3),Permission,0 / 30,Mohammad Mahmoody
15279,019,IND(3),Permission,0 / 30,Madhur Behl
16085,020,IND(3),Permission,0 / 30,Yen-Ling Kuo
15835,021,IND(3),Permission,0 / 30,Kevin Skadron
15889,022,IND(3),Permission,0 / 30,Miaomiao Zhang
16081,023,IND(3),Permission,0 / 30,Ferdinando Fioretto
,14888,001,IND(1 - 6),Permission,0 / 30
14888,001,IND(1 - 6),Permission,0 / 30,Jack Davidson
14888,001,IND(1 - 6),Permission,0 / 30,Jack Davidson
14889,002,IND(1 - 6),Permission,0 / 30,David Evans
16402,003,IND(1 - 6),Permission,0 / 30,Henry Kautz
15736,004,IND(1 - 6),Permission,0 / 30,Afsaneh Doryab
15536,005,IND(1 - 6),Permission,0 / 30,Homa Alemzadeh
14890,006,IND(1 - 6),Permission,0 / 30,Kevin Skadron
15435,007,IND(1 - 6),Permission,0 / 30,Aidong Zhang
15730,008,IND(1 - 6),Permission,0 / 30,Yixin Sun
15370,009,IND(1 - 6),Permission,0 / 30,Robbie Hott
14957,010,IND(1 - 6),Permission,0 / 30,Aaron Bloomfield
15371,011,IND(1 - 6),Permission,0 / 30,Rich Nguyen
15222,012,IND(1 - 6),Permission,0 / 30,Kai-wei Chang
14958,013,IND(1 - 6),Permission,0 / 30,Tom Horton
15184,014,IND(1 - 6),Permission,0 / 30,Samira Khan
15284,015,IND(1 - 6),Permission,0 / 30,Brad Campbell
16450,016,IND(1 - 6),Permission,0 / 30,Arohi Khargonkar
15063,017,IND(1 - 6),Permission,0 / 30,Nada Basit
15372,018,IND(1 - 6),Permission,0 / 30,Raymond Pettit
15846,019,IND(1 - 6),Permission,0 / 30,Tianhao Wang
15082,020,IND(1 - 6),Permission,0 / 30,Mohammad Mahmoody
14960,021,IND(1 - 6),Permission,0 / 30,Kevin Sullivan
16048,022,IND(1 - 6),Permission,0 / 30,Yen-Ling Kuo
15280,023,IND(1 - 6),Permission,0 / 30,Madhur Behl
15849,024,IND(1 - 6),Permission,0 / 30,Seongkook Heo
14962,025,IND(1 - 6),Permission,0 / 30,Mark Sherriff
15851,026,IND(1 - 6),Permission,0 / 30,Miaomiao Zhang
15853,027,IND(1 - 6),Permission,0 / 30,Shangtong Zhang
15857,028,IND(1 - 6),Permission,0 / 30,Felix Lin
16067,029,IND(1 - 6),Permission,0 / 30,Chang Lou
15064,030,IND(1 - 6),Permission,0 / 30,Mark Floryan
15866,031,IND(1 - 6),Permission,0 / 30,Sandhya Dwarkadas
15065,032,IND(1 - 6),Permission,0 / 30,Yanjun Qi
15223,033,IND(1 - 6),Permission,0 / 30,Haiying Shen
15747,034,IND(1 - 6),Permission,0 / 30,Tom Fletcher
15224,035,IND(1 - 6),Permission,0 / 30,Charles Reiss
15877,036,IND(1 - 6),Permission,0 / 30,Wajih Ul Hassan
