ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
10811,EVSC,9999,002,IND,"1 - 12","Patricia Wiberg","Mo 8:00am - 8:50am","TBA","Non-Topical Research","",Open,0,1,0
10930,EVSC,9999,003,IND,"1 - 12","Lawrence Band","TBA","TBA","Non-Topical Research","",Open,1,30,0
10931,EVSC,9999,004,IND,"1 - 12","Peter Berg","TBA","TBA","Non-Topical Research","",Open,2,30,0
10932,EVSC,9999,005,IND,"1 - 12","David Carr","TBA","TBA","Non-Topical Research","",Open,1,30,0
10933,EVSC,9999,006,IND,"1 - 12","Max Castorani","TBA","TBA","Non-Topical Research","",Open,2,30,0
10934,EVSC,9999,007,IND,"1 - 12","Stephan De Wekker","TBA","TBA","Non-Topical Research","",Open,0,30,0
10935,EVSC,9999,008,IND,"1 - 12","Howard Epstein","TBA","TBA","Non-Topical Research","",Open,2,30,0
10936,EVSC,9999,009,IND,"1 - 12","Kevin Grise","TBA","TBA","Non-Topical Research","",Open,0,30,0
10937,EVSC,9999,010,IND,"1 - 12","Kyle Haynes","TBA","TBA","Non-Topical Research","",Open,0,30,0
10938,EVSC,9999,011,IND,"1 - 12","Manuel Lerdau","TBA","TBA","Non-Topical Research","",Open,0,30,0
10939,EVSC,9999,012,IND,"1 - 12","Ajay Limaye","TBA","TBA","Non-Topical Research","",Open,1,30,0
10940,EVSC,9999,013,IND,"1 - 12","Antonios Mamalakis","TBA","TBA","Non-Topical Research","",Open,1,30,0
10941,EVSC,9999,014,IND,"1 - 12","Karen Mcglathery","TBA","TBA","Non-Topical Research","",Open,0,30,0
10942,EVSC,9999,015,IND,"1 - 12","Lauren Simkins","TBA","TBA","Non-Topical Research","",Open,0,30,0
10943,EVSC,9999,016,IND,"1 - 12","Charity Nyelele","TBA","TBA","Non-Topical Research","",Open,1,30,0
10944,EVSC,9999,017,IND,"1 - 12","Michael Pace","TBA","TBA","Non-Topical Research","",Open,0,30,0
10945,EVSC,9999,018,IND,"1 - 12","Sally Pusede","TBA","TBA","Non-Topical Research","",Open,0,30,0
10946,EVSC,9999,019,IND,"1 - 12","Justin Richardson","TBA","TBA","Non-Topical Research","",Open,1,30,0
10947,EVSC,9999,020,IND,"1 - 12","Matthew Reidenbach","TBA","TBA","Non-Topical Research","",Open,3,30,0
10948,EVSC,9999,021,IND,"1 - 12","T'ai Roulston","TBA","TBA","Non-Topical Research","",Open,0,30,0
10949,EVSC,9999,022,IND,"1 - 12","Todd Scanlon","TBA","TBA","Non-Topical Research","",Open,0,30,0
10950,EVSC,9999,023,IND,"1 - 12","Kathleen Schiro","TBA","TBA","Non-Topical Research","",Open,3,30,0
10951,EVSC,9999,024,IND,"1 - 12","Xi Yang","TBA","TBA","Non-Topical Research","",Open,1,30,0
12533,EVSC,9999,025,IND,"1 - 12","Frederick Cheng","TBA","TBA","Non-Topical Research","",Open,0,30,0
10826,FREN,1016,1,Lecture,"3","Spyridon Simotas","Sa 9:00am - 12:00pm","New Cabell Hall 183","Intensive Introductory French","",Open,0,20,0
10828,FREN,1026,1,Lecture,"3","Spyridon Simotas","Sa 1:00pm - 6:30pm","New Cabell Hall 183","Intensive Introductory French","",Open,0,20,0
10827,FREN,116,1,Lecture,"0","Spyridon Simotas","Sa 9:00am - 12:00pm","New Cabell Hall 183","Intensive Introductory French","",Open,0,20,0
10829,FREN,126,1,Lecture,"0","Spyridon Simotas","Sa 1:00pm - 6:30pm","New Cabell Hall 183","Intensive Introductory French","",Open,0,20,0
10830,FREN,2016,1,Lecture,"3","Spyridon Simotas","MoTuWeThFr 9:00am - 12:00pm","New Cabell Hall 183","Intensive Intermediate French","",Open,0,20,0
10832,FREN,2026,1,Lecture,"3","Spyridon Simotas","MoTuWeThFr 1:00pm - 6:30pm","New Cabell Hall 183","Intensive Intermediate French","",Open,0,20,0
10831,FREN,216,1,Lecture,"0","Spyridon Simotas","MoTuWeThFr 9:00am - 12:00pm","New Cabell Hall 183","Intensive Intermediate French","",Open,0,20,0
10833,FREN,226,1,Lecture,"0","Spyridon Simotas","MoTuWeThFr 1:00pm - 6:30pm","New Cabell Hall 183","Intensive Intermediate French","",Open,0,20,0
11880,GBAC,7218,001,Lecture,"1.5","James Maxham, -, Rajkumar Venkatesan, -","SaSu 8:00am - 5:15pm","Sands Captl Mgmt Bldg Rm 3010","Capstone I: Solution Design","",Closed,57,0,0
