ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
21598,LAW,8813,3E,IND,"3","Thomas Frampton","TBA","TBA","Independent Research","",Open,0,1,0
21662,LAW,8814,FS2E,IND,"0","Rachel Bayefsky","TBA","TBA","Independent Research (YR)","",Closed,1,1,0
19843,LAW,8814,FS2A,IND,"0","Gaurang Gulati","TBA","TBA","Independent Research (YR)","",Closed,2,1,0
21763,LAW,8814,FS2F,IND,"0","Michael Gilbert","TBA","TBA","Independent Research (YR)","",Closed,2,1,0
21305,LAW,8814,FS2B,IND,"0","Caleb Nelson","TBA","TBA","Independent Research (YR)","",Closed,2,2,0
21306,LAW,8814,FS2C,IND,"0","Scott Ballenger","TBA","TBA","Independent Research (YR)","",Closed,1,1,0
21770,LAW,8814,FS2H,IND,"0","Andrew Hayashi","TBA","TBA","Independent Research (YR)","",Closed,1,1,0
21603,LAW,8814,FS2D,IND,"0","John Setear","TBA","TBA","Independent Research (YR)","",Closed,1,1,0
21768,LAW,8814,FS2G,IND,"0","Michael Collins","TBA","TBA","Independent Research (YR)","",Closed,1,1,0
19818,LAW,8815,SF1A,IND,"2","Rachel Bayefsky","TBA","TBA","Independent Research (YR)","",Closed,2,2,0
21022,LAW,8815,SF2E,IND,"2","Josh Bowers","TBA","TBA","Independent Research (YR)","",Closed,1,1,0
21024,LAW,8815,SF2G,IND,"2","Scott Ballenger","TBA","TBA","Independent Research (YR)","",Closed,1,1,0
21020,LAW,8815,SF2C,IND,"2","Michael Doran","TBA","TBA","Independent Research (YR)","",Closed,1,1,0
21025,LAW,8815,SF2H,IND,"2","Darryl Brown","TBA","TBA","Independent Research (YR)","",Closed,1,1,0
21023,LAW,8815,SF2F,IND,"2","Charles Barzun","TBA","TBA","Independent Research (YR)","",Closed,1,1,0
21019,LAW,8815,SF2B,IND,"2","J Verkerke","TBA","TBA","Independent Research (YR)","",Closed,1,1,0
21026,LAW,8815,SF2I,IND,"2","Lawrence Solum","TBA","TBA","Independent Research (YR)","",Closed,1,1,0
21027,LAW,8815,SF2J,IND,"2","Anne Coughlin","TBA","TBA","Independent Research (YR)","",Closed,1,1,0
21021,LAW,8815,SF2D,IND,"2","Thomas Frampton","TBA","TBA","Independent Research (YR)","",Closed,1,1,0
21028,LAW,8815,SF2K,IND,"2","Julia Mahoney","TBA","TBA","Independent Research (YR)","",Closed,1,1,0
21029,LAW,8815,SF2L,IND,"2","RICHARD RE","TBA","TBA","Independent Research (YR)","",Closed,1,1,0
21661,LAW,8815,SF2M,IND,"2","Anne Coughlin","TBA","TBA","Independent Research (YR)","",Closed,1,1,0
19862,LAW,8816,FS3A,IND,"0","Thomas Frampton","TBA","TBA","Independent Research (YR)","",Closed,1,1,0
21528,LAW,8816,FS3B,IND,"0","Aditya Bamzai","TBA","TBA","Independent Research (YR)","",Closed,2,2,0
21776,LAW,8816,FS3D,IND,"0","Gaurang Gulati","TBA","TBA","Independent Research (YR)","",Closed,1,1,0
21576,LAW,8816,FS3C,IND,"0","Andrew Hayashi","TBA","TBA","Independent Research (YR)","",Open,0,1,0
19860,LAW,8817,SF3A,IND,"3","Anne Coughlin","TBA","TBA","Independent Research (YR)","",Open,0,1,0
21030,LAW,8817,SF3B,IND,"3","Thomas Frampton","TBA","TBA","Independent Research (YR)","",Closed,2,2,0
19863,LAW,8818,021A,IND,"0","To be Announced","TBA","TBA","Independent Research (YR)","",Closed,0,0,0
20278,LAW,8820,1,IND,"12","Jason Dugas","TBA","TBA","Exchange: University of Auckland","",Closed,1,1,0
20277,LAW,8821,1,IND,"12","Jason Dugas","TBA","TBA","Exchange: Bucerius Law School","",Closed,1,1,0
20279,LAW,8822,1,IND,"12","Jason Dugas","TBA","TBA","Exchange: University of Melbourne","",Closed,1,1,0
20005,LAW,8824,1,IND,"12","Jason Dugas","TBA","TBA","Exchange: Tel Aviv University","",Closed,2,2,0
20004,LAW,8825,1,IND,"12","Jason Dugas","TBA","TBA","Exchange: Waseda University","",Closed,1,1,0
20281,LAW,8826,1,IND,"12","Jason Dugas","TBA","TBA","Exchange: University of Sydney","",Closed,1,1,0
20006,LAW,8827,1,IND,"12 - 13","Jason Dugas","TBA","TBA","Exchange: Instituto de Empresa (IE)","",Closed,1,1,0
20007,LAW,8828,1,IND,"12","Jason Dugas","TBA","TBA","Exchange: Seoul National University","",Closed,0,0,0
20008,LAW,8831,1,IND,"12","Jason Dugas","TBA","TBA","Exchange: Bocconi Law","",Closed,2,2,0
20009,LAW,8832,1,IND,"12","Jason Dugas","TBA","TBA","Exchange: Hebrew University Faculty of Law","",Closed,1,1,0
20280,LAW,8833,1,IND,"12","Jason Dugas","TBA","TBA","Exchange: University of Paris II","",Closed,2,2,0
19940,LAW,8843,2A,PRA,"2","Michael Collins","TBA","TBA","Directed Research","",Closed,1,1,0
20013,LAW,8843,2B,PRA,"2","Naomi Cahn","TBA","TBA","Directed Research","",Closed,1,1,0
21517,LAW,8843,2E,PRA,"2","Kimberly Robinson","TBA","TBA","Directed Research","",Closed,1,1,0
21777,LAW,8843,2I,PRA,"2","Thomas Frampton","TBA","TBA","Directed Research","",Closed,1,1,0
21583,LAW,8843,2G,PRA,"2","Richard Schragger","TBA","TBA","Directed Research","",Closed,1,1,0
21613,LAW,8843,2H,PRA,"2","Kelly Orians","TBA","TBA","Directed Research","",Closed,1,1,0
21211,LAW,8843,2C,PRA,"2","Paul Stephan","TBA","TBA","Directed Research","",Closed,1,1,0
21462,LAW,8843,2D,PRA,"2","A. E. Howard","TBA","TBA","Directed Research","",Closed,1,1,0
21574,LAW,8843,2F,PRA,"2","Danielle Citron","TBA","TBA","Directed Research","",Closed,1,1,0
19780,LAW,8844,1,IND,"0","Jason Dugas","TBA","TBA","Dual Degree: Sciences Po (YR)","",Closed,1,1,0
20897,LAW,8850,1,PRA,"1","Ruth Mason","TBA","TBA","International Tax Practicum Fellow","",Closed,1,1,0
20899,LAW,9008,1,SEM,"3","Andrew Block","Th 1:00pm - 3:00pm","Brown Hall 127","Children and the Law","",Open,12,16,0
20274,LAW,9015,1,SEM,"2","John Dienelt","Th 3:40pm - 5:40pm","Slaughter Hall 268","Franchise Law","",Open,5,16,0
20723,LAW,9018,1,SEM,"3","Tracy Genesen, Daniel Ortiz","Th 11:30am - 1:30pm","Brown Hall 119","Wine and the Law","",Open,14,16,0
20647,LAW,9025,1,SEM,"3","Julia Mahoney, Cynthia Nicoletti","We 3:40pm - 5:40pm","Brown Hall 114","Property, the Police Power and Emergencies","",Open,15,16,0
20344,LAW,9034,1,SEM,"3","Peter Lyons","TuTh 11:30am - 12:50pm","Brown Hall 162","Transactional Approach To Mergers and Acquisitions","",Open,11,16,0
20936,LAW,9053,1,SEM,"3","Molly Shadel","Th 10:00am - 12:30pm","Slaughter Hall 290","Hallmarks of Distinguished Advocacy","",Closed,12,12,0
21010,LAW,9068,1,SEM,"3","Larry Wenger","We 3:40pm - 5:40pm","Brown Hall 116","Historic Preservation Law","",Open,10,15,0
21769,LAW,9068,2,SEM,"2","Larry Wenger","TBA","TBA","Historic Preservation Law","",Open,1,12,0
19773,LAW,9074,1,SEM,"3","David Hallock, H Kneedler","WeTh 7:40pm - 9:40pm","Slaughter Hall 268","Legislative Drafting and Public Policy","",Open,9,12,0
19995,LAW,9076,1,SEM,"3","Leon Szeptycki","We 3:40pm - 5:40pm","Brown Hall 162","Natural Resources Law and Policy","",Closed,16,16,0
20930,LAW,9077,1,SEM,"2","David Law, Chinh Le","We 3:40pm - 5:40pm","Brown Hall 121","Asian Americans and the Law","",Open,12,16,0
19777,LAW,9081,1,SEM,"3","John Cook, James Watson","Tu 6:15pm - 9:15pm","Slaughter Hall 290","Trial Advocacy","",Open,9,12,0
20269,LAW,9081,2,SEM,"3","Ronald Livingston, Jordan McKay","Th 4:00pm - 7:00pm","Slaughter Hall 292","Trial Advocacy","",Open,10,12,0
20271,LAW,9081,4,SEM,"3","Kristin Stolpe","Mo 6:00pm - 9:00pm","Slaughter Hall 290","Trial Advocacy","",Open,8,12,0
19775,LAW,9089,1,SEM,"0","Charles Barzun, Josh Bowers","TBA","TBA","Seminar in Ethical Values (YR)","",Closed,12,12,0
20676,LAW,9089,2,SEM,"0","Kevin Cope, Emiliana Versteeg","TBA","TBA","Seminar in Ethical Values (YR)","",Open,4,12,0
20677,LAW,9089,3,SEM,"0","Quinn Curtis, Joshua Fischman","TBA","TBA","Seminar in Ethical Values (YR)","",Open,5,12,0
20678,LAW,9089,4,SEM,"0","Joe Fore","TBA","TBA","Seminar in Ethical Values (YR)","",Open,3,12,0
