ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
10349,MED,8654,001,CLN,"0","To Be Announced","TBA","TBA","Surgery, Anesthesiology, Obstetrics & Gynecology Clerkship","",Open,0,30,0
10334,MED,8671,001,CLN,"0","To Be Announced","TBA","TBA","Clinical Electives","",Open,2,160,0
10345,MED,8671,002,CLN,"0","To Be Announced","TBA","TBA","Clinical Electives","",Open,0,160,0
10332,MED,8672,001,Lecture,"0","To Be Announced","TBA","TBA","Neurology Clerkship","",Open,1,160,0
10352,MED,8672,002,Lecture,"0","To Be Announced","TBA","TBA","Neurology Clerkship","",Open,0,160,0
10336,MED,8674,1,CLN,"0","To Be Announced","TBA","TBA","Geo Med Summer Program","",Open,4,30,0
10341,MED,8675,1,IND,"0","To Be Announced","TBA","TBA","Medical Student Summer Research Program","",Open,93,160,0
10338,MED,8677,1,CLN,"0","To Be Announced","TBA","TBA","Introduction to Generalist Medicine","",Open,6,160,0
10339,MED,8678,1,Laboratory,"6","To Be Announced","TBA","TBA","MSTP Summer Program","",Open,0,30,0
10340,MED,8680,1,CLN,"0","To Be Announced","TBA","TBA","MD/MBA Summer Program","",Open,3,30,0
10343,MED,8698,001,IND,"0","To Be Announced","TBA","TBA","Research","",Open,0,160,0
10353,MED,9421,001,SEM,"0","To Be Announced","TBA","TBA","Patient Student Partnership 3","",Open,0,30,0
12689,MED,9640,001,CLN,"0","To Be Announced","TBA","TBA","Advanced Clinical Elective","",Open,1,30,0
10329,MED,9669,001,Lecture,"0","To Be Announced","TBA","TBA","Electives Program I","",Open,0,30,0
10347,MED,9670,001,CLN,"0","To Be Announced","TBA","TBA","Electives Program II","",Open,0,160,0
